OP,FECHA DE INGRESO,ESTILO,DESCRIPCIÓN,COLOR,VISTAS/BIES/CONTRASTES,TALLA,ESTILO-TALLA,BORDADO,CANTIDAD,FECHA ENTREGA,sah unitario,HORAS,LINEA,PLANTA,FOLEO,HABILITACION,ENSAMBLE,TERMINADO,EMPAQUE,PRIORIDAD,C.T.,TELA,estilo 2,metros a tender,FECHA CORTE,BIES,HABILITACION,,PORCENTAJE DE TELA,
,PEDIDO ESPECIAL CITLALI DEL CARMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8764,05/12/2022,I001AF-027,TOP MUJER,NAVAL,URGENTE,XS,I001AF-027-XS,,65,06/01/2023,0.208,14,MAPUI30,TOP,,,,,,,M3100,T/C-19-4027TCX-ESTATE BLUE,I001AF,60.697,10/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
8765,05/12/2022,I101AF-027,PANT MUJER,NAVAL,URGENTE,XS,I101AF-027-XS,,51,06/01/2023,0.2208,11,MAPUI30,PANT,,,,,,,M3101,T/C-19-4027TCX-ESTATE BLUE,I101AF,71.4357,10/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
,,,,,,,,,116,,0.4288,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,2324,,7.9388,740,,,,,,,,,,,,,,,,,,
,Semana 53,SEMANA 6 5B 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8766,13/12/2022,A006-027,TOP MUJER ,NAVAL,,M,A006-027-M,,144,13/01/2023,0.4658,67,MPUA10,TOP,,,,,,,M3102,TTR-19-4027TCX-MEDIEVAL,A006,141.12,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8767,13/12/2022,A006-027,TOP MUJER ,NAVAL,,S,A006-027-S,,144,13/01/2023,0.4658,67,MPUA10,TOP,,,,,,,M3102,TTR-19-4027TCX-MEDIEVAL,A006,141.12,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8768,13/12/2022,A006-027,TOP MUJER ,NAVAL,,XS,A006-027-XS,,120,13/01/2023,0.4658,56,MPUA10,TOP,,,,,,,M3102,TTR-19-4027TCX-MEDIEVAL,A006,117.6,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8769,13/12/2022,AH003-001,TOP HOMBRE,BLANCO,,M,AH003-001-M,,48,13/01/2023,0.293,14,MPUA10,TOP,,,,,,,M3103,TTR-WHIT,AH003,46.08,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8770,13/12/2022,AH003-4045,TOP HOMBRE,OCEANO,,S,AH003-4045-S,,48,13/01/2023,0.293,14,MPUA10,TOP,,,,,,,M3104,TTR-19-4045TCX-LAPIS BLUE,AH003,46.08,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8771,13/12/2022,AH003-421,TOP HOMBRE,AVENTURINI,,L,AH003-421-L,,72,13/01/2023,0.293,21,MPUA10,TOP,,,,,,,M3105,TTR-19-5421TCX AVENTURINE,AH003,69.12,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8772,13/12/2022,AH003-570,TOP HOMBRE,NEGRO,,S,AH003-570-S,,144,13/01/2023,0.293,42,MPUA10,TOP,,,,,,,M3106,TTR-19-570TCX-BLACK,AH003,138.24,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8773,13/12/2022,RFH004-316,TOP HOMBRE,BREEZE,,XXL,RFH004-316-XXL,,48,13/01/2023,0.3041,15,MPUA10,TOP,,,,,,,M3107,TTR-OLIVE-C#3,RFH004,50.4,15/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8774,13/12/2022,RFH004-900,TOP HOMBRE,STORM,,M,RFH004-900-M,,120,13/01/2023,0.3041,36,MPUA10,TOP,,,,,,,M3108,TTR-GARY-C#4,RFH004,126,15/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8775,13/12/2022,A103-001,PANT MUJER,BLANCO,,L,A103-001-L,,192,13/01/2023,0.2791,54,MPUA10,PANT,,,,,,,M3109,TTR-WHIT,A103,245.76,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8776,13/12/2022,A103-001,PANT MUJER,BLANCO,,M,A103-001-M,,360,13/01/2023,0.2791,100,MPUA10,PANT,,,,,,,M3109,TTR-WHIT,A103,460.8,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8777,13/12/2022,A103-001,PANT MUJER,BLANCO,,S,A103-001-S,,336,13/01/2023,0.2791,94,MPUA10,PANT,,,,,,,M3109,TTR-WHIT,A103,430.08,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8778,13/12/2022,A103-001,PANT MUJER,BLANCO,,XL,A103-001-XL,,72,13/01/2023,0.2791,20,MPUA10,PANT,,,,,,,M3109,TTR-WHIT,A103,92.16,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
