NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,CÓDIGO INTERNO DE SUBLOCALIZACIÓN EN ALMACÉN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,TIPO DE PRODUCTO:(DEJARLO GENERAL PARA TODAS LAS REFACCIONES),COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS
A-5000-7650,Palpador especial para PH20 Bola de carboro de tungsteno M2 Ø3X10 mm,"Palpador especial para PH20
Bola de carboro de tungsteno M2 Ø3 mm, L 10 mm, vastago de acero inoxidable ",RENISHAW,A-5000-7650,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$32.00,$50.00,USD,PIEZA,1,2
A-5000-7672,Palpador M4 bola de rubí 5x150mm SM-5000-7672,"Bola de carburo de tungsteno M4 de Ø5 mm, vástago de acero inoxidable, L 150 mm, LTU 132,5 mm",RENISHAW,A-5000-7672,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$88.00,$115.00,USD,PIEZA,1,5
A-5000-7800,Palpador M2 bola de rubí 3x10mm SM-5000-7800,"Bola de rubí M2 Ø0,3 mm, vástago de carburo de tungsteno, L 10 mm, LTU 2 mm",RENISHAW,A-5000-7800,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$77.70,$115.00,USD,PIEZA,3,5
A-5000-7803,Palpador M2 bola de rubí 2.5x10mm SM-5000-7803,"Bola de rubí M2 de Ø2,5 mm, vástago de acero inoxidable, L 10 mm, LTU 6,5 mm",RENISHAW,A-5000-7803,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$37.10,$60.00,USD,PIEZA,2,5
A-5000-7804,Palpador M2 bola de rubí 2.5X20mm SM-5000-7804,"Bola de rubí M2 de Ø2,5 mm, vástago de acero inoxidable, L 20 mm, LTU 16,4 mm",RENISHAW,A-5000-7804,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$15.40,$25.00,USD,PIEZA,2,5
A-5000-7805,Palpador M2 bola de rubí 5x10mm SM-5000-7805,"Bola de rubí M2 de Ø0,5 mm, vástago de carburo de tungsteno, L 10 mm, LTU 3 mm",RENISHAW,A-5000-7805,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$63.00,$85.00,USD,PIEZA,2,5
A-5000-7806,Palpador M2 bola de rubí 1x10mm SM-5000-7806,"Bola de rubí M2 de Ø1 mm, vástago de acero inoxidable, L 10 mm, LTU 4,5 mm",RENISHAW,A-5000-7806,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$22.40,$35.00,USD,PIEZA,2,5
A-5000-7807,Palpador M2 bola de rubí 2x10mm SM-5000-7807,"Bola de rubí M2 de Ø2 mm, vástago de acero inoxidable, L 10 mm, LTU 6 mm
",RENISHAW,A-5000-7807,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$15.40,$25.00,USD,PIEZA,5,10
A-5000-7808,Palpador M2 bola de rubí 1x20mm SM-5000-7808,"Bola de rubí M2 de Ø1 mm, vástago de carburo de tungsteno, L 20 mm, LTU 7 mm",RENISHAW,A-5000-7808,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$34.30,$45.00,USD,PIEZA,5,10
A-5000-7812,Palpador cilindrico bola de rubí 2x21.2mm SM-5000-7812,"Cilindro terminado en esfera de rubí M2 Ø2 mm, vástago de acero inoxidable, L 21,2mm",RENISHAW,A-5000-7812,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$102.90,$150.00,USD,PIEZA,3,5
A-5000-8395,"Centro de estrella M2 de 4 vías 7,5 mm","Palpador de estrella M2 de 4 vías, L 7,5 mm",RENISHAW,A-5000-8395,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$44.80,$65.00,USD,PIEZA,2,4
A-5000-8663,Palpador M2 bola de rubí 1x27.5mm SM-5000-8663,"Bola de rubí M2 de Ø1 mm, vástago de carburo de tungsteno, L 27,5 mm, LTU 20,5 mm",RENISHAW,A-5000-8663,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$58.80,$85.00,USD,PIEZA,5,10
A-5000-8876,Palpador cilindro en esfera de rubí M2 de Ø1 mm 15 mm SM-500-8876,"Cilindro terminado en esfera de rubí M2 de Ø1 mm, vástago de acero inoxidable, L 15 mm",RENISHAW,A-5000-8876,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$129.50,$185.00,USD,PIEZA,1,1
A-5003-0033,Palpador M2 bola de rubí 1x20mm SM-5003-0033,"Bola de rubí M2 de Ø1 mm, vástago de carburo de tungsteno, L 20 mm, LTU 12,5 mm",RENISHAW,A-5003-0033,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$38.50,$50.00,USD,PIEZA,5,10
A-5003-0035,Palpador  M2 bola de rubí1.5x30mm SM-5003-0035,"Bola de rubí M2 de Ø1,5 mm, vástago de carburo de tungsteno, L 30 mm, LTU 22,5 mm",RENISHAW,A-5003-0035,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$26.60,$40.00,USD,PIEZA,5,10
A-5003-0036,Palpador M2 bola de rubí 2x30mm SM-5003-0036,"Bola de rubí M2 de Ø2 mm, vástago de carburo de tungsteno, L 30 mm, LTU 22,5 mm",RENISHAW,A-5003-0036,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$40.00,USD,PIEZA,5,10
A-5003-0037,.Palpador M2 bola de rubí 2x40mm SM-5003-0037,"Bola de rubí M2 de Ø2 mm, vástago de carburo de tungsteno, L 40 mm, LTU 32,5 mm",RENISHAW,A-5003-0037,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$34.30,$50.00,USD,PIEZA,3,5
A-5003-0040,Palpador M2 bola de rubí 3X30mm SM-5003-0040,"Bola de rubí M2 de Ø3 mm, vástago de carburo de tungsteno, L 30 mm, LTU 27 mm",RENISHAW,A-5003-0040,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$45.00,USD,PIEZA,5,10
A-5003-0041,Palpador M2 bola de rubí 3x40mm SM-5003-0041,"Bola de rubí M2 de Ø3 mm, vástago de carburo de tungsteno, L 40 mm, LTU 37 mm",RENISHAW,A-5003-0041,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$34.30,$45.00,USD,PIEZA,3,5
A-5003-0042,Palpador M2 bola de rubí 3x50mm SM-5003-0042,"Bola de rubí M2 de Ø3 mm, vástago de carburo de tungsteno, L 50 mm, LTU 47 mm",RENISHAW,A-5003-0042,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$45.00,USD,PIEZA,5,10
A-5003-0043,Palpador M2 bola de rubí 4x30mm SM-5003-0043,"Bola de rubí M2 de Ø4 mm, vástago de carburo de tungsteno, L 30 mm, LTU 30 mm",RENISHAW,A-5003-0043,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$45.00,USD,PIEZA,3,5
A-5003-0044,Palpador M2 bola de rubí 4x40mm SM-5003-0044,"Palpador Bola de rubí M2 de Ø4 mm, vástago de carburo de tungsteno, L 40 mm, LTU 40 mm
",RENISHAW,A-5003-0044,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$34.30,$55.00,USD,PIEZA,3,5
A-5003-0046,Palpador M2 bola de rubí 5x20mm SM-5003-0046,"Bola de rubí M2 de Ø5 mm, vástago de carburo de tungsteno, L 20 mm, LTU 20 mm",RENISHAW,A-5003-0046,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$30.80,$45.00,USD,PIEZA,3,5
A-5003-0048,Palpador M2 bola de rubí 5x40.25mm SM-5003-0048,"Palpador Bola de rubí M2 de Ø5 mm, vástago de carburo de tungsteno, L 40,25 mm, LTU 40,25 mm
",RENISHAW,A-5003-0048,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$37.10,$50.00,USD,PIEZA,2,5
A-5003-0053,Palpador M3 bola de rubí 2x40mm SM-5003-0053,"Bola de rubí M3 de Ø2 mm, vástago de carburo de tungsteno, L 40 mm, LTU 32,5 mm",RENISHAW,A-5003-0053,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$34.30,$50.00,USD,PIEZA,3,5
A-5003-0057,Palpador M3 bola de rubí 3x30mm SM-5003-0057,"Bola de rubí M3 de Ø3 mm, vástago de carburo de tungsteno, L 30 mm, LTU 24 mm",RENISHAW,A-5003-0057,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$44.00,$60.00,USD,PIEZA,3,5
A-5003-0059,Palpador M3 bola de rubí 3x50mm SM-5003-0059,"Bola de rubí M3 de Ø3 mm, vástago de carburo de tungsteno, L 50 mm, LTU 43,7 mm",RENISHAW,A-5003-0059,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$37.10,$60.00,USD,PIEZA,3,5
