,,,,, ,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
NA,LICENCIA POLYWORKS,LICENCIA POLYWORKS,POLYWORKS,NA,LICENCIAS,C1,SF-001,PROVEEDOR ,INNOVMETRIC ,NA,NA,NA,NA,NA,NA,9327.5 USD,NA,USD,PIEZA,0,0,BAJO SOLICITUD
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
13020408906,CONTRABALANCE ACCURATE M800,CONTRABALANCE ACCURATE ASSLY  M-800 BORE-40 STROCK-431,ACCURATE,COORDIMESUR ,CONTRABALANCES,ESPECIAL CONTRABALANCES,CN-001,PROVEEDOR ,ACCURATE,NA,NA,NA,NA,NA,NA,$450.00,"$1,200.00",USD,PIEZA,1,2,
G13518500-KIT,CONTRABALANCE G13518500-KIT,CONTRABALANCE CHIAPPEROTTI G13518500-KIT,CHIAPEROTTI ,SCIROCCO,CONTRABALANCES,ESPECIAL CONTRABALANCES,CN-002,REFACCIONES LCP,CHIAPEROTTI ,NA,NA,NA,NA,NA,NA,$500.00,"$1,200.00",USD,PIEZA,2,3,
D60010034,CONTRABALANCE D60010034 ,CONTRABALANCE CHIAPPEROTTI D60010034 ,CHIAPEROTTI ,GLOBAL,CONTRABALANCES,ESPECIAL CONTRABALANCES,CN-003,PROVEEDOR ,CHIAPEROTTI ,NA,NA,NA,NA,NA,NA,$347.00,"$1,200.00",USD,PIEZA,2,4,
G13518700,CONTRABALANCE G13518700,CONTRABALANCE CHIAPPEROTTI G13518700,CHIAPEROTTI ,GHIBLI,CONTRABALANCES,ESPECIAL CONTRABALANCES,CN-004,PROVEEDOR ,CHIAPEROTTI ,NA,NA,NA,NA,NA,NA,$510.00,"$1,500.00",USD,PIEZA,2,3,
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
NA,PATIN COJINETE DE AIRE 100X35 MM,FLAT ROUND AIR BEARINGS 100X35 mm ,ACCURATE,100x35,PATINES,E5,PT-001,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,NA,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 25X40 MM,FLAT ROUND AIR BEARINGS 25X40 mm ,ACCURATE,25x40,PATINES,E5,PT-002,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DEAIRE 40X30 MM,FLAT ROUND AIR BEARINGS 40x30 mm,ACCURATE,40x30,PATINES,E5,PT-003,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$800.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 50X25 MM,FLAT ROUND AIR BEARINGS 50x25 mm,ACCURATE,50x25,PATINES,E5,PT-004,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$800.00,USD,PIEZA,2,3,
