CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
BANDA,BANDA TD 5 STS 53 MM S3M 447 (SCIROCCO EJE Z) | A=15mm L= 440 mm | HILO ,BND3,BANDO,,-,-,,,,
BANDA,BANDA HTD 447-3M (SCIROCCO EJE Y) A=15mm L=440mm,BND4,BANDO,,-,-,,,,
BANDA,BANDA HTD 384-3M (SCIROCCO EJE X) A=8mm L=380mm,BND5,BANDO | TRANSLINK EU,,-,-,,,,
BANDA,BANDA GATES 50 STD BLANCA (SCIROCCO TRACCION),BND6,GATES,,-,-,,,,
BANDA,Banda Blanca / Dentada / 50 STD5 3600 SO.E / A=50MM L=3600M | STEEL,BND7,GATES,,-,-,,,,
BANDA,Banda Negra / Dentada / HTD246-3M / A= 10mm L=246 (mitutoyo),BND8,Synchro,,-,-,,,,
BANDA,Banda Negra / Dentada / HT255-3M / A=6MM L=255MM (Mitutoyo) | HILO,BND9,Synchro,,-,-,,,,
BANDA,Banda Negra / Dentada / STS-2M 250 / A=6mm L=250mm (Mitutoyo) | HILO,BND10,Synchro,,-,-,,,,
BANDA,Bandas Verde / Hechiza / Lisa / 10X356,BND11,NA,,-,-,,,,
BANDA,Banda 180 J 9mm 4 costillas (motor global) | 16 155 | A=9mm L=460mm,BND12,JASON,,-,-,,,,
BANDA,Banda 180 J 9mm 4 costillas (motor global) | 16 155 | A=9mm L=460mm,BND12,JASON,,-,-,,,,
BANDA,Banda Negra / 4 Costillas / 280J 5 056/ A=9mm L=711mm,BND13,RIB-ACE,,-,-,,,,
BANDA,Banda Negra / Dentada / 20-5285 3A4 / A=8 L=290 Paso 5mm,BND14,NA,,-,-,,,,
BANDA,Banda Amarilla / Dentada / T5X630 / A=15mm L=630mm | Steel,BND15,GATES MECTROL,,-,-,,,,
BANDA,Banda Negra / Dentada / HTD 522-3M / A=15MM L=522MM | HILO,BND16,POGGI,,-,-,,,,
BANDA,Banda Negra / Dentada / HTD 3M-384 / A=10MM L=384MM |,BND17,Jason,,-,-,,,,
BANDA,Banda Negra / Dentada / Compresor / 875VC / A=38MM L=875MM,BND18,Bando Power Max,,-,-,,,,
BANDA,BANDA NEGRA HTD 5M 25MM NEOPRENO | A=25MM L=14.6MTS | HILO,BND19,NA,,-,-,,,,
BANDA,BANDA NEGRA HTD 50 LL-5M 68 | A=50MM L=1M | STEEL,BND20,Walther Flender GmbH,,-,-,,,,
BANDA,Bandas Verde / Hechiza / Lisa / A=10MM L=470MM Zeiss,BND22,NA,,-,-,,,,
BANDA,Bandas Verde / Hechiza / Lisa / A=11MM L=200MM ,BND23,NA,,-,-,,,,
BANDA,Banda Negra / Elastica 0.05/ Lisa / A=7MM L=320MM ,BND24,  ,,-,-,,,,
BANDA,Bandas Negra / Lisa / PL- 7.25 / A=20MM L=180MM,BND25,GATES,,-,-,,,,
BANDA,Banda Negra / Lisa / A=13MM L=194MM ,BND26,NA,,82-442-107-1,-,,,,
BANDA,Banda Verde / Hechiza / Lisa / A=10MM L=280MM,BND27,NA,,-,-,,,,
BANDA,BANDA NEGRA NEOPRENO / M5 / A=15MM L=1.24M | STEEL,BND28,ACCURATE,,-,-,,,,
BANDA,Banda Verde / Hechiza / Lisa / A=10MM L=220MM,BND29,NA,,-,-,,,,
BANDA,BANDA NEGRA HTD 50 LL-5M | L=2.5MTS A=25MM | STELL,BND30,Walther Flender GmbH,,-,-,,,,
BANDA,BANDA NEGRA HTDLL 5M-50 | L=1400MM A=16MM | STEEL,BND31,POWERGRIP,,-,-,,,,
BANDA,BANDA NEGRA HTDLL 5M-50 | L=1600MM A=16MM | STEEL,BND32,POWERGRIP,,-,-,,,,
BANDA,Banda negra dentada HTD5.25 | L=2.05 Mts A=25mm | STEEL,BND33,ACCURATE,,-,-,,,,
BANDA,Banda negra dentada HTD5.25 | L=1.85 Mts A=25mm | STEEL,BND34,ACCURATE,,-,-,,,,
BANDA,Banda negra dentada HTD5.25 | L=1.25 Mts A=14mm | STEEL,BND35,ACCURATE,,-,-,,,,
BANDA,BANDA DENTADA NEGRA| L=1.20M A=15MM | STEEL,BND36,,,-,-,,,,
BANDA,BANDA MULTIRIB 285 J NEGRA 4 COSTILLAS | A=10MM | STEEL,BND37,JASON,,285J,18 165,,,,
BANDA,BANDA MULTIRIB 285 J NEGRA 4 COSTILLAS | A=10MM | STEEL,BND37,JASON,,285J,18 165,,,,
BANDA,BANDA MULTIRIB 285 J NEGRA 4 COSTILLAS | A=10MM | STEEL,BND37,JASON,,285J,18 165,,,,
BANDA,BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M 680,BND38,WALTHER FLENDER,,50 LL-5M,680,,,,
BANDA,,,,,,,,,,
BANDA,BANDA 12x190MM SIN DENTAR AZUL,BND39,-,,12*190 MM,-,,,,
BANDA,BANDA NEGRA CERRADA HTD 670 5M | L=360MM A=25MM | HILO,BND40,POWERGRIP,,HTD 670,,,,,
BANDA,BANDA NEGRA CERRADA HTD 420 3M | L=210MM A=10MM | ,BND41,POWERGRIP,,HTD 420,,,,,
BANDA,BANDA NEGRA DENTADA CERRADA 473J PJ1200 | L=570MM A=50MM | ,BND42,MICRO-V,,473J PJ1200,,,,,
BANDA,BANDA NEGRA DENTADA CERRADA 230J 21 | L=57MM A=20MM | 8 CANALES ,BND43,TRANS POWER,,230J 21,,,,,
BANDA,BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M 680,BND38,WALTHER FLENDER,,50 LL-5M,680,,,,
BANDA,BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M 30M 680 | 2.3m x 25mm,BND39,WALTHER FLENDER,,LL-5M-25mm,,,,,
BANDA,BANDA DENVER 100XL 02-2008 A=10mm L-240mm,BND40,DENVER,,100XL 02-2008,,,,,
BANDA,BANDA 237 SYNCHROFLEX AT 3/351 E3/8 A=10mm L-340mm AMARILLA,BND41,SYNCHROFLEX,,237,3/351 E3/8,,,,
BANDA,BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M 680 | 1830mm x 25mm,BND42,WALTHER FLENDER,,LL-5M-25mm,,,,,
BANDA,BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M 680 | 2670mm x 25mm,BND43,WALTHER FLENDER,,LL-5M-25mm,,,,,
BANDA,"BANDA HTD 5M SPECIAL TOOTHED BELTS LONG LENGTH 50 LL-5M  680
L=4.5M A=18MM",BND44,WALTHER FLENDER,,50 LL-5M,L=4.5M A=18MM,,,,
CABEZAL & ACCESORIOS,PRUBE HEAD PANTEC,OTRO,PANTEC METROLOGY,PANTEC,EAGLE.head-m PKJ,EAGLE.head-m PKJ,,,,
CABEZAL & ACCESORIOS,PRUBE HEAD PH10M PLUS,RBE,RENISHAW,RENISHAW,CATALOGO A-5863-1000 // CAJA A-5863-4000,PH10M PLUS,"$4,096.00",USD,"$5,200.00",USD
CABEZAL & ACCESORIOS,PRUBE HEAD PH10M,RBE,RENISHAW,RENISHAW,CATALOGO A-1025-6050 // CAJA A-1025-4500,PH10M LEGACY,"$1,872.00",USD,"$5,200.00",USD
CABEZAL & ACCESORIOS,PRUBE HEAD PH10MQ PLUS,RBE,RENISHAW,RENISHAW,A-5663-6000,PH10MQ PLUS,"$4,096.00",USD,"$5,200.00",USD
CABEZAL & ACCESORIOS,PRUBE HEAD PH10MQ,RBE,RENISHAW,RENISHAW,CATALOGO A-1036-6001 // CAJA A-1025-6500,PH10MQ LEGACY,"$4,096.00",USD,"$5,200.00",USD
CABEZAL & ACCESORIOS,HEAD CABLE PL13U,,RENISHAW,RENISHAW,A-1016-7675-02,PL13U,$174.30,USD,$250.00,USD
CABEZAL & ACCESORIOS,PROBE HEAD CABLE PL93U,,RENISHAW,RENISHAW,A-1016-7676-01,PL93U,$208.60,USD,$250.00,USD
CABEZAL & ACCESORIOS,CABLE STRAIGHT 0.15M | CABLE PARA CABEZAL MANUAL (CMM IOTA),,RENISHAW,RENISHAW,A-1016-6440-03,,$44.10,USD,$100.00,USD
CABEZAL & ACCESORIOS,Pieza de montaje para cabezal QUILL / ACCURATE,,ACCURATE,ACCURATE,-,-,-,-,$200.00,USD
CABEZAL & ACCESORIOS,Pieza de montaje para cabezal QUILL  CONVERTIDOR DE PH10MQ A PH10M,-,,-,-,-,-,-,$500.00,USD
