CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
CONTROLADORES,"CONTROLLER PANTEC EAGLE pro/3, 115VAC",,PANTEC,PANTEC,34606,PRO/3,"$5,907.00",USD,"$10,500.00",USD
CONTROLADORES,"CONTROLLER EAGLE pro/4 HP 130VDC, 115VAC ",,PANTEC,PANTEC,34612,PRO/4,"$10,192.00",USD,"$14,000.00",USD
CONTROLADORES,PHC10-2 PROBE HEAD CONTROLLER,,RENISHAW,RENISHAW,-,PHC10-2,,,"$3,750.00",USD
CONTROLADORES,PHC10-3 PLUS PROBE HEAD CONTROLLER,,RENISHAW,RENISHAW,A-5863-0100-05,PHC10-3 PLUS,"$3,107.00",USD,"$4,750.00",USD
CONTROLADORES,Probe Interface PI4-2,,RENISHAW,RENISHAW,-,,,,,
JOYSTICK Y ACCESORIOS,BOTON DE EMERGENCIA,,-,-,-,GRIS CON ROJO,,,,
JOYSTICK Y ACCESORIOS,PALANCA APEM ,,APEM,DIGIMAX,3112SALZ153 | 300002,COMPATIBLE JOYSTICK HEXAGON,$250.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,PALANCA APEM ,,APEM,DIGIMAX,3112SAL503 | 300451,COMPATIBLE JOYSTICK B&S,$250.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,PALANCA APEM ,,APEM VELCO,PANTEC,300249,COMPATIBLE JOYSTICK PANTEC,$260.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,PALANCA,,CH PRODUCTS,,M31L081P,-,$250.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,PALANCA,,CH PRODUCTS,,S30C081T,-,$250.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,JOYSTICK HEXAGON,,HEXAGON,,H009834/F,H009834/E,,,$650.00,USD
JOYSTICK Y ACCESORIOS,PALANCA,,MEGATRON,,822451719,30jhk-zt-30r3g,$250.00,USD,$650.00,USD
JOYSTICK Y ACCESORIOS,BOTON DE EMERGENCIA,,PANTEC,,-,COMPATIBLE JOYSTICK PANTEC,,,$200.00,USD
JOYSTICK Y ACCESORIOS,PILA PARA JOYSTICK PANTEC,,PANTEC,PANTEC,24007,COMPATIBLE JOYSTICK PANTEC,,,,USD
JOYSTICK Y ACCESORIOS,JOYSTICK EAGLE PAD ALAMBRICO,,PANTEC,PANTEC,34530,ALAMBRICO,"$1,362.00",USD,"$2,700.00",USD
JOYSTICK Y ACCESORIOS,MANUAL CONTROL UNIT JOYSTICK HT400RC V2,,PANTEC,PANTEC,34621,INALAMBRICO,"$1,500.00",USD,"$3,000.00",USD
JOYSTICK Y ACCESORIOS,BOTON DE EMERGENCIA ,,PANTEC,PANTEC,-,COMPATIBLE CON CONTROL PANTEC,,,,USD
JOYSTICK Y ACCESORIOS,MCUW Joystick Assembly / CARGADOR DE JOYSTICK RENISHAW MCU W(con llave) / PILA RENISHAW N°P 056F18,,RENISHAW,,A-5381-0019-03 | A-5381-0020-05,INALAMBRICO,,,,USD
JOYSTICK Y ACCESORIOS,KEY BOARD PARA JOYSTICK DE CMM SHEFFIELD CORDAX D-28,,SHEFFIELD,,-,-,,,,USD
STOCK | VENTA | PRESTAMO,Bobinas,-,-,-,-,-,,,,
STOCK | VENTA | PRESTAMO,Conector Lemo,-,Lemo,Lemo,USD12702,FFA.3S.314.CLAL10,,,,
STOCK | VENTA | PRESTAMO,Conector Lemo FFGG OB,-,Lemo,Lemo,-,-,,,,
STOCK | VENTA | PRESTAMO,ELECTRONIC Interface Valvew,-,Northeast Fluids,Northeast Fluids,-,-,,,,
STOCK | VENTA | PRESTAMO,Lainas | Metric thickness shim,-,Douglas Stamping Company,Douglas Stamping Company,-,.50 mm,,,,
STOCK | VENTA | PRESTAMO,Lainas | Metric thickness shim,-,Douglas Stamping Company,Douglas Stamping Company,-,1.0 mm,,,,
STOCK | VENTA | PRESTAMO,Lainas | Metric thickness shim,-,Douglas Stamping Company,Douglas Stamping Company,-,2.0 mm,,,,
STOCK | VENTA | PRESTAMO,Lainas | Metric thickness shim,-,Douglas Stamping Company,Douglas Stamping Company,-,.25 mm,,,,
STOCK | VENTA | PRESTAMO,Lainas fin de carrera/Hechizas,-,-,-,-,-,,,,
STOCK | VENTA | PRESTAMO,Limit Switch,-,OMRON,OMRON,-,-,,,,
STOCK | VENTA | PRESTAMO,SAFETY SWITCH | 5A-250V | SENSOR FINES DE CARRERA,-,MICRO SWITCH A HONYWELL DIVISION,MICRO SWITCH A HONYWELL DIVISION,24-CEI-Y2,-,,,,
STOCK | VENTA | PRESTAMO,RESISTENCIA 50W4 7J GRIS,-,-,-,-,-,,,,
STOCK | VENTA | PRESTAMO,RESISTENCIA PARA UNIDAD DE PALPADO DORADA,-,-,-,-,-,,,,
STOCK | VENTA | PRESTAMO,INTERFACE CONNECTOR SCSI S/E | DIGITAL | 3 PIEZAS CASETTES HS-4/120s,-,DIGITAL TM | MAXELL,DIGITAL TM | MAXELL,-,TLZ09,,,,
STOCK | VENTA | PRESTAMO,TARJETA 9949 CM-1 94V-0,-,P&Q,P&Q,9949 CM-1 94V-0,-,,,,
STOCK | VENTA | PRESTAMO,CONECTOR LEMO,-,Lemo,Lemo,FFA.3S.314.CLAL10,-,,,,
